Date,Open Price,Close Price,High Price,Low Price,Volume
2009-01-02,4434.2,4561.8,4561.8,4430,407295392
2009-01-05,4561.8,4579.6,4618.1,4520.8,836675968
2009-01-06,4579.6,4638.9,4675.7,4562,1037315904
2009-01-07,4638.9,4507.5,4638.9,4478,1060111232
2009-01-08,4507.5,4505.4,4514.7,4410.5,924352384
2009-01-09,4505.4,4448.5,4534.8,4431.9,979880000
2009-01-12,4448.5,4426.2,4471.3,4402.3,786091328
2009-01-13,4426.2,4399.1,4426.2,4321.3,963231616
2009-01-14,4399.1,4180.6,4426.5,4115.4,1309107072
2009-01-15,4180.6,4121.1,4199.4,4090.9,1247255168
2009-01-16,4121.1,4147.1,4251.7,4121.1,1386145280
2009-01-19,4147.1,4108.5,4251.9,4032.4,1879364992
2009-01-20,4108.5,4091.4,4184.3,4060.6,2079963648
2009-01-21,4091.4,4059.9,4112.8,4001.4,2068435584
2009-01-22,4059.9,4052.2,4153.9,4046.4,1615353344
2009-01-23,4052.2,4052.5,4070.8,3956.7,1510831360
2009-01-26,4052.5,4209,4225.2,4039.4,1524882688
2009-01-27,4209,4194.4,4211,4130.8,1264648320
2009-01-28,4194.4,4295.2,4317.6,4194.4,1742247936
2009-01-29,4295.2,4190.1,4295.2,4147.7,1387667072
2009-01-30,4190.1,4149.6,4228,4125.2,1496062592
2009-02-02,4149.6,4077.8,4149.6,4036.9,929235712
2009-02-03,4077.8,4164.5,4173.2,4043.4,1085343232
2009-02-04,4164.5,4228.6,4262.7,4160.4,1197508864
2009-02-05,4228.6,4228.9,4235.3,4133.5,1216488576
2009-02-06,4228.9,4291.9,4330.7,4225.6,1412522752
2009-02-09,4291.9,4307.6,4334,4244,1168750720
2009-02-10,4307.6,4213.1,4309.5,4210.5,1113424640
2009-02-11,4213.1,4234.3,4244.5,4182.1,977770368
2009-02-12,4234.3,4202.2,4234.3,4135.1,1326826624
2009-02-13,4202.2,4189.6,4291.6,4168,1464481664
2009-02-16,4189.6,4134.8,4189.6,4127.3,768227200
2009-02-17,4134.8,4034.1,4134.8,3995.4,1226667136
2009-02-18,4034.1,4006.8,4056.5,3938.1,1276563328
2009-02-19,4006.8,4018.4,4045.2,3983.9,1173914496
2009-02-20,4018.4,3889.1,4018.4,3877.8,1300935936
2009-02-23,3889.1,3850.7,3960,3844.9,985111680
2009-02-24,3850.7,3816.4,3852.3,3772.4,1082778112
2009-02-25,3816.4,3849,3884.1,3803.9,1190213504
2009-02-26,3849,3915.6,3948.2,3849,2078205824
2009-02-27,3915.6,3830.1,3915.6,3760.7,1662560768
2009-03-02,3830.1,3625.8,3830.1,3625.8,1489496448
2009-03-03,3625.8,3512.1,3676.9,3497.3,1552463360
2009-03-04,3512.1,3645.9,3649.5,3512.1,1282906368
2009-03-05,3645.9,3529.9,3645.9,3526.4,1517533824
2009-03-06,3529.9,3530.7,3590.2,3492.1,1594393856
2009-03-09,3530.7,3542.4,3564.8,3460.7,1568103168
2009-03-10,3538.47,3715.23,3726.31,3516.3,1716855808
2009-03-11,3701.6,3693.81,3763.24,3652.01,1702913792
2009-03-12,3685.37,3712.06,3725.6,3616.5,1491067264
2009-03-13,3756.73,3753.68,3816.02,3737.88,1385426176
2009-03-16,3784.16,3863.99,3863.99,3784.16,1222809216
2009-03-17,3850.6,3857.1,3860.8,3793.13,1212702720
2009-03-18,3871.27,3804.99,3901.65,3768.5,1284340224
2009-03-19,3812.02,3816.93,3912.64,3793.7,2579357952
2009-03-20,3794.24,3842.85,3854.87,3777.73,2170118144
2009-03-23,3881.71,3952.81,3978.6,3844.01,1520402432
2009-03-24,3979.76,3911.46,3992.42,3878.42,1513177600
2009-03-25,3895.61,3900.25,3939.16,3852.96,1408409856
2009-03-26,3909.63,3925.2,3929.54,3877.79,1540981248
2009-03-27,3924.74,3898.85,3950.32,3877.55,1613253248
2009-03-30,3876.76,3762.91,3876.76,3762.91,1306764800
2009-03-31,3782.9,3926.14,3930.62,3782.9,1582078848
2009-04-01,3922.88,3955.61,3972.68,3838.22,1365246720
2009-04-02,3990.01,4124.97,4137.85,3990.01,1716491904
2009-04-03,4110.66,4029.67,4132.93,4015.59,1454940416
2009-04-06,4052.86,3993.54,4097.17,3959.6,1280125696
2009-04-07,4003.36,3930.52,4039.52,3909.88,1163285888
2009-04-08,3903.81,3925.52,3940.42,3876.11,1142928128
2009-04-09,3945.26,3983.71,3986.28,3911.99,1178195200
2009-04-14,3991.46,3988.99,4039.67,3939.61,1480794624
2009-04-15,3980.24,3968.4,4023.35,3941.61,1285957120
2009-04-16,3987.85,4052.98,4052.98,3963.57,1317680000
2009-04-17,4060.47,4092.8,4114.32,4043.21,1659766912
2009-04-20,4088.33,3990.86,4112.75,3962.87,1345950848
2009-04-21,3993.92,3987.46,4019.16,3897.25,1597626240
2009-04-22,3987.99,4030.66,4036.03,3948.22,1357767808
2009-04-23,4024.83,4018.23,4082.31,3999.06,1152052992
2009-04-24,4036.43,4155.99,4155.99,4036.43,1323836544
2009-04-27,4133.24,4167.01,4179.17,4088.67,1013572672
2009-04-28,4124.74,4096.4,4124.74,4058.73,1025206336
2009-04-29,4105.53,4189.59,4193.32,4089.46,1234082560
2009-04-30,4203.86,4243.71,4293.63,4203.86,1572958336
2009-05-01,4238.02,4243.22,4251.57,4210.75,623623424
2009-05-05,4271.18,4336.94,4375.35,4271.18,1603910400
2009-05-06,4337.66,4396.49,4437.61,4317.05,1531298816
2009-05-07,4408.75,4398.68,4520.82,4380.27,2264600064
2009-05-08,4413.65,4462.09,4487.5,4413.65,1457665408
2009-05-11,4462.7,4435.5,4470.05,4401.52,1259508992
2009-05-12,4422.75,4425.54,4457.46,4397.41,1294610688
2009-05-13,4430.53,4331.37,4447.96,4328.17,1555741440
2009-05-14,4326.1,4362.58,4371.28,4295.19,1203890688
2009-05-15,4384.89,4348.11,4400.72,4317.23,1089903744
2009-05-18,4331.62,4446.45,4446.45,4307.72,1054330432
2009-05-19,4467.51,4482.25,4512.7,4445.48,1531188608
2009-05-20,4473.49,4468.41,4504.2,4445.09,1429899136
2009-05-21,4439.37,4345.47,4439.37,4325.77,1294968832
2009-05-22,4347.3,4365.29,4393.07,4335.01,1048707712
2009-05-26,4353.49,4411.72,4423.64,4294.98,1025528512
2009-05-27,4426.78,4416.23,4439.79,4390.23,958715712
2009-05-28,4384.99,4387.54,4408.64,4341.08,940861312
2009-05-29,4415.18,4417.94,4469.43,4415.18,1163603072
2009-06-01,4459.82,4506.19,4517.6,4459.82,986724544
2009-06-02,4494.9,4477.02,4494.9,4435.92,1425877504
2009-06-03,4477.18,4383.42,4477.18,4359.33,1247347584
2009-06-04,4389.38,4386.94,4436.25,4359.66,1049177152
